model_name,model_revision,layer,layer_label,probe_type,pooling_method,micro_accuracy,macro_accuracy,num_examples,num_projects,seed,best_layer_posthoc
Qwen/Qwen3-8B,,6,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6075970272502065,0.5881140352356782,6055,14,,0
Qwen/Qwen3-8B,,7,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6378199834847234,0.6105483854261966,6055,14,,0
Qwen/Qwen3-8B,,8,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6386457473162676,0.6116765424898787,6055,14,,0
Qwen/Qwen3-8B,,9,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6350123864574732,0.6082122195553211,6055,14,,0
Qwen/Qwen3-8B,,10,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6386457473162676,0.6120918004567952,6055,14,,0
Qwen/Qwen3-8B,,11,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6358381502890174,0.6131350429941284,6055,14,,0
Qwen/Qwen3-8B,,12,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6373245251857969,0.6138339749032288,6055,14,,0
Qwen/Qwen3-8B,,13,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6350123864574732,0.6131866446948548,6055,14,,0
Qwen/Qwen3-8B,,14,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6376548307184146,0.6175001443441694,6055,14,,0
Qwen/Qwen3-8B,,15,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6345169281585467,0.6125128276113634,6055,14,,0
Qwen/Qwen3-8B,,16,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6346820809248555,0.6121849664699687,6055,14,,0
Qwen/Qwen3-8B,,17,,paired_difference_sign_mean_diff_direction_lopo,mean,0.635177539223782,0.6025714818023771,6055,14,,0
Qwen/Qwen3-8B,,18,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6340214698596202,0.6028035847633716,6055,14,,0
Qwen/Qwen3-8B,,19,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6373245251857969,0.6036213741078542,6055,14,,0
Qwen/Qwen3-8B,,20,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6336911643270025,0.5980753465138999,6055,14,,0
Qwen/Qwen3-8B,,21,,paired_difference_sign_mean_diff_direction_lopo,mean,0.634186622625929,0.6016288559309144,6055,14,,0
Qwen/Qwen3-8B,,22,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6340214698596202,0.5986572992758603,6055,14,,0
Qwen/Qwen3-8B,,23,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6343517753922379,0.5983157412894381,6055,14,,0
Qwen/Qwen3-8B,,24,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6371593724194881,0.601884071484968,6055,14,,0
Qwen/Qwen3-8B,,25,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6379851362510323,0.6092452526906182,6055,14,,0
Qwen/Qwen3-8B,,26,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6340214698596202,0.602725469700505,6055,14,,0
Qwen/Qwen3-8B,,27,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6330305532617672,0.6101210048528017,6055,14,,0
Qwen/Qwen3-8B,,28,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6366639141205616,0.6162426688747761,6055,14,,0
Qwen/Qwen3-8B,,29,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6376548307184146,0.6236299928036864,6055,14,,0
Qwen/Qwen3-8B,,30,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6404624277456648,0.6279799084484604,6055,14,,1
Qwen/Qwen3-8B,,31,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6373245251857969,0.6128432700530787,6055,14,,0
Qwen/Qwen3-8B,,32,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6389760528488853,0.6234591793200271,6055,14,,0
Qwen/Qwen3-8B,,33,,paired_difference_sign_mean_diff_direction_lopo,mean,0.638150289017341,0.6186016740216366,6055,14,,0
Qwen/Qwen3-8B,,34,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6335260115606937,0.6127096183345496,6055,14,,0
Qwen/Qwen3-8B,,35,,paired_difference_sign_mean_diff_direction_lopo,mean,0.6338563170933114,0.6014040261517827,6055,14,,0
Qwen/Qwen3-8B,,36,,paired_difference_sign_mean_diff_direction_lopo,mean,0.5501238645747316,0.5354995925454147,6055,14,,0
